document_id,years
-000-825-AGL_Energy_Climate_Statement_and_Commitments_2020_AccessedAugust2021.pdf,"[2020, 2022]"
-001-024-CST_joint-statement_05-22.pdf,"[2021, 2022]"
-000-903-arcelormittal_climateactionreport_29.7.21_aug2021.pdf,"[2021, 2022]"
-000-900-Arcelormittal_ETSreform_publicconsultation_4.2.21_jan2022.pdf,"[2021, 2022]"
-000-901-BASF_Industry-Associations-Review_11.21_jan2022.pdf,"[2021, 2022]"
-000-939-bp-submission-hikinate-kohupara-green-paper_June2021.pdf,"[2021, 2022]"
-000-902-Bayer_Overview-Lobbying-Activities2021_12.21_jan2022.pdf,"[2021, 2022]"
-000-898-Boeing_2021-cdp-response-key-questions_Jan2022.pdf,"[2021, 2022]"
-000-710-Boral_2019AnnualReport_29_accessedNov20.pdf,"[2019, 2022]"
-000-866-centrica-climate-transition-plan-2021_Oct2021_AccessedNov2021p68-69.pdf,"[2021, 2022]"
-000-934-Why_engine-maker_Cummins_is_lobbying_President_Biden_for_new_climate_legislation___Fortune.pdf,"[2021, 2022]"
-000-903-Cummins_2022_PolicyPositions_Jan2022.pdf,"[2022, 2023]"
-000-901-EDF_EU_Affairs_Annual_Report_2020_2021_AccessedJan2022p11.pdf,"[2021, 2022]"
-001-028-Environmental___ESG___Kinder_Morgan.pdf,"[2021, 2022]"
-000-898-Maersk_2021_cdp-disclosure-questions_Jan2022.pdf,"[2021, 2022]"
-000-902-NationalGrid_AnnualReport2020-21_AccessedJan2022p17-19.pdf,"[2021, 2022]"
-001-103-Nestle_USLDA_Q2_2021_AccessedJanuary2023.pdf,"[2021, 2022]"
-000-833-PTTGC_climate-statement_n.d._aug2021.pdf,"[2021, 2022]"
-001-125-pemex_sustainabilityreport2021_2022_feb2023.pdf,"[2022, 2023]"
-000-484-PepsiCo_2019_PoliticalActivities_March2020.pdf,"[2019, 2022]"
-001-023-PepsiCo_2021_LinkedIn_August2022.pdf,"[2021, 2022]"
-000-808-RWE_SustainabilityReport2020_March2021_AccessedJuly2021.pdf,"[2021, 2022]"
-000-901-Renault_ClimateReport-April21_Accessed-Jan22.pdf,"[2021, 2022]"
-000-792-Advanced_Carbon_Management_Technology___Aramco.pdf,"[2021, 2022]"
-000-846-090166e5da6fc24a.pdf,"[2021, 2022]"
-000-721-South32_climatechangewebpage_accessedDec20.pdf,"[2020, 2022]"
-000-736-Vale_Corporate-website-Carbon-Neutral_accessedJan21.pdf,"[2021, 2022]"
-001-038-VW_Bloomberg-Aug22_Accessed-Aug22.pdf,"[2021, 2022]"
-000-779-Weyerhaeuser_2021_Webpage_Climate_Change_Solution_May_2021.pdf,"[2021, 2022]"
-000-072-Total_SustainableGrowthReport2014_July_24_2015.pdf,"[2014, 2015]"
-000-064-DowChemicalExtract_CDP2014_June.11.2015.pdf,"[2014, 2015]"
"-000-378-CDP_Imperial_Oil_2017_Climate_Change_p.4,_CC2.3a.pdf","[2017, 2018]"
-000-090-Vale_Sustainability_Report_October_17_2015_.pdf,"[2014, 2015]"
-000-452-Why_shipping_must_show_more_ambition_to_tackle_climate_change.pdf,"[2017, 2019]"
-000-242-Enel_MagritteGroup_FixtheETS_November2016_13.January.2017.pdf,"[2016, 2017]"
-000-380-PepsiCo_ClimateChange_2018.pdf,"[2018, 2019]"
-000-731-LafargeHolcim_Twitter_renwave_11.12.19_jan2021.pdf,"[2019, 2020]"
-000-741-Lukoil_Sustainability_Report_2019.pdf,"[2019, 2021]"
-000-804-GM_2020-Sustainability-Report_07-2021.pdf,"[2020, 2021]"
-000-289-Joint-Letter_World-Economic-Forum_79-CEOs-Urge-Global-Climate-Action_20-07-2017.pdf,"[2019, 2015]"
-000-745-Iberdrola_El-Pais_Galan-Spain_02-2021.pdf,"[2019, 2020]"
-000-380-Duke_Energy_Response_to_EPA_Repeal_of_the_Clean_Power_Plan_November_2018.pdf,"[2017, 2018]"
-000-848-Teck_sustainability_report_2019_p56_March_2020_accessed_September_2021.pdf,"[2020, 2021]"
-000-370-PGE-Group_Politico_Focus-Poland-Energy-Transition_02-08-2018.pdf,"[2017, 2018]"
-000-379-General_Motors_Sustainability_Report_2017_p.56.pdf,"[2017, 2018]"
-000-255-Southern-Company_Legal-Document_CPP-Stay_15-02-2017.pdf,"[2016, 2017]"
-000-866-climate-change-policy-(december-2020).pdf,"[2020, 2021]"
-000-301-CRH_2016-Sustainability-Report_03-10-2017.pdf,"[2016, 2017]"
-000-787-CNOOC_ESG_Report_2019.pdf,"[2020, 2021]"
-000-383-SSAB_AB.pdf,"[2018, 2019]"
-000-269-EDF_Cambridge-Institute-Sustainable-Leadership_21st-Century-Energy_12-05-2017.pdf,"[2016, 2017]"
-000-371-Gazprom_2016-Sustainability-Report_07-08-2018.pdf,"[2017, 2018]"
-000-243-CEZ_Greenpeace_Tied-Down-Report_16-01-2017.pdf,"[2014, 2015]"
-000-181-178684_SSAB---Q7-:-D1_181854_2016-08-27_07:41.pdf,"[2016, 2017]"
-000-395-engie-europe-priorities.pdf,"[2019, 2020]"
-000-748-AEP-Accountability-Report2020.pdf,"[2020, 2021]"
-000-370-CEZ-Group_Joint-Letter_Vision-European-Electricity-Industry_25-07-2018.pdf,"[2017, 2018]"
-000-253-EON_Statement_from_the_Coalition_for_Higher_Ambition_April_2016_08Feb2017_.pdf,"[2016, 2015]"
-000-370-RWE_Handelsblatt_On-The-Cusp_19-07-2018.pdf,"[2017, 2018]"
