document_id,evidence_queries
-000-985-AES_nytimes_CEOnuclear_15.6.22_june2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-001-122-AES_IBJ_CEOinterview_28.10.22_feb2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-021-AES_Ohiolobbying_activityreport_24.5.22_july2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-000-982-AES_Axios_interview_10.6.22_june2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-000-972-AES_axios_CEOinterview_13.5.22_may2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-000-825-AGL_Energy_Climate_Statement_and_Commitments_2020_AccessedAugust2021.pdf,"['Energy Transition & Zero Carbon Technologies', 'Transparency on Legislation', 'Communication of Climate Science']"
-001-052-Safeguard_Mechanism_reform_consultation_landing_page_Septemeber_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-045-AGL_Victorian_emissions_target_June_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action']"
-001-052-agl-Safeguard_Reform_submission_September_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy', 'Communication of Climate Science']"
-001-109-AGL_NSW_Climate_Action_Plan_consultation_Nov_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Communication of Climate Science']"
-001-122-AGL_National_EV_Strategy_November2022_AccessedFebruary2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-982-Adbri_NetZeroRoadmap_May22_p28_AccessedJun222.pdf,"['Energy and Resource Efficiency', 'Carbon Tax']"
-001-078-Adbri_2022_Climate_Science_AccessedNov2022.pdf,"['Support of UN Climate Process', 'Communication of Climate Science']"
-000-998-2021-sustainability-report_public-positions_06-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy']"
-000-957-AirFrance_Position-paper_Jan-22.pdf,"['Emissions Trading', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Carbon Tax']"
-001-024-CST_joint-statement_05-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Renewable Energy']"
-001-116-AirFrance-KLM_Timmermans-email_11-21_accessed-02-23.pdf,"['Alignment with IPCC on Climate Action', 'Renewable Energy']"
-000-986-AirFrance-KLM_Athens-news_05-22.pdf,"['Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-000-965-Aviation-Alliance_declaration_02-2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Renewable Energy']"
-001-116-AirFrance-KLM_meeting-notes-DGMOVE_11-22_accessed-02-23.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations', 'Renewable Energy']"
-000-945-AirFrance_Environment-SAF_2022.pdf,"['Land Use', 'Renewable Energy']"
-000-977-Airbus_open-letter_Feb-22.pdf,"['Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy']"
-000-953-airliquide_2021-universal-registration-document_p.113_7.3.22_apr2022.pdf,"['Support of UN Climate Process', 'Alignment with IPCC on Climate Action']"
-001-028-AirLiquide_AnnualReport2021_Aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-000-933-Airliquide_US-Senate_testimony-ENR_cleanhydrogen_10.2.22_feb2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-000-975-Airbus_Annual-report_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-021-American_2021-Annual-report-2022.pdf,"['Communication of Climate Science', 'Alignment with IPCC on Climate Action']"
-001-021-American_10K_2022.pdf,"['Emissions Trading', 'Supporting the Need for Regulations', 'Renewable Energy']"
-001-021-American_CAPA_05-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-036-AEP_s&pglobal_USclimatebills_31.1.22_feb2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-036-AEP_Q12022_earningscall_28.4.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-117-AngloAmerican_EUHydrogenEconomy_FOIJune22_AccessedFeb23.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Renewable Energy']"
-001-080-Amplats_ClimateReport21_p4_Nov22_AccessedNov22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-080-Amplats_ClimateReport21_Nov22_AccessedNov22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
-001-029-Antam_2021-SR_156.pdf,"['Communication of Climate Science', 'Alignment with IPCC on Climate Action']"
-001-092-rilis-soe-international-conference-english-final.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
